Td    ID    Tj    Df    Dd    Db
30    2048    22    1    7    8
31    53    24    0    7    7
34    50    23    0    11    11
37    2056    25    0    12    12
38    44    21    0    17    17
41    2036    18    0    23    23
41    2053    24    0    17    17
41    41    20    0    21    21
42    2037    19    0    23    23
43    2057    25    6    12    18
43    2047    22    1    20    21
43    2035    18    0    25    25
43    38    19    0    24    24
45    2039    19    1    25    26
46    2040    20    0    26    26
48    2044    21    0    27    27
48    2052    24    0    24    24
48    2046    22    0    26    26
50    2041    20    1    29    30
50    2051    23    9    18    27
51    2042    20    18    13    31
51    2034    18    0    33    33
51    2049    23    0    28    28
53    2054    24    20    9    29
53    2043    21    0    32    32
54    2045    21    23    10    33
54    2055    25    0    29    29
55    2050    23    23    9    32
56    2038    19    0    37    37
59    2001    1    0    58    58
78    2003    2    1    75    76
87    2005    3    1    83    84
95    2007    4    2    89    91
99    2009    5    3    91    94
102    2011    6    3    93    96
105    2013    7    4    94    98
107    2015    8    5    94    99
109    2017    9    5    95    100
110    2019    10    6    94    100
111    2021    11    7    93    100
111    2023    12    7    92    99
112    2025    13    8    91    99
112    2027    14    9    89    98
113    2029    15    9    89    98
114    2031    16    10    88    98
115    2033    17    11    87    98
124    2000    1    0    123    123
